,0,1,2,3,4,5,6,7,8
0,"Позиция
","Наименование и техническоя хороктеристика
","sun ны р рог лу па
","Код продукции
","Поставщик
","Ed. изм.
","Кол.
","Mecca 1 ed.,
","Приумечоние
"
1,"3501
","ИБП IPPON Back comfo pro 800
","MBN IPPON Back comfo pro 600
","2763258200018
","И
","wun.
","1
","1,00
","| |
"
2,"3512
","Monumop
","HP Pavilion 2231
","07013 4%
","НР
","Ш,
","1
","2,50
","| ПООООЖИИ
"
3,"353
","Рабочая станция
","2-560
","Z-640
","НР
","KOMNA.
",,"15,00
","ИИ
"
4,"3513
","НР H3C534A Black USB клабиамуроа и мышь
","HP H3C53AA Black USB клобиомуро и нышь
","ИЗСЪЗАА
","НР
","и
","1
","0,50
","Po
"
5,"ый
","Windows 7 Praf, 64-8um
","Windows ? Prof, 6% -бит
","Windows 7 Prof, 64-5um
","mend
","KOMPA.
","2
","0.00
","|
"
6,"3503
","WinCC ¥7.3 RT Cllent
","WinCC V#.3 КТ Client
","6AV6381-20A07-3AX0
","SIEMENS
","компл.
","1
","0,00
","ИИ
"
7,"ыы
","Office для дома и Бизнеса 2013
","Office das дома и бизнесо 2019
","aia для дома и бизнеса
","и
","компл.
","2
","0.09
","| — а |
"
8,"3503
","Антифируг ESET NOD 32
","Антивирус ESET NOD 32
","Антибируг ESET NOD 32
","|
","KOMNA.
","1
","0,00
","— — с ыы |
"
9,"annie
","Инженерная станция: ноутбук, без OC, процаскор Core 5 4210H 2800 МГц, 039 6 Fé OORSL 1600 МГц
","MSI БЕБО 2PE Apache Pro
","MSI GE60 ZPE Apache Pro
","Г _ —
","ит.
","1
","0,50
","ие НН И. ad a
"
10,"ИВ
","WinCC V2.3 RC 2048
","WiC ¥73 RC 2068
","6AV6381-2BPO7-3AX0
","SIEMENS
","компл.
","1
","0,00
","| — 2 a a — вы |
"
11,"nil
","WinCC V 13 Advanced
","WinfC У 13 Advanced
","6AV2 102-0AA03-0AA5
","SEMENS
","компл.
","1
","0,00
","И
"
12,"nian
","Step 7 Professional V13
","НИИ
","GES? 622-1AA03-OYAS
","ЗЕМЕМЬ
","КОМП.
","h |
","0,00 |
","| | . . . . |
"
